date,time,symbol,setup,side,entry,stop,target,exit,pnl,r_multiple,size,bias_weight,reasons,momentum_score,mean_rev_score,vol_cap,pullback_score,exit_time
2023-01-03,2023-01-03T13:40:00-05:00,SPY,momentum_continuation,LONG,379.305,378.3116071428571,380.1560714285714,378.35,-270.2649999999955,-0.9613517886032066,283,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-01-03T14:35:00-05:00
2023-01-03,2023-01-03T14:45:00-05:00,SPY,momentum_continuation,LONG,379.415,379.415,380.36850000000004,380.55,337.0949999999973,,297,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-01-03T14:50:00-05:00
2023-01-03,2023-01-03T14:50:00-05:00,SPY,momentum_continuation,LONG,380.55,379.61589285714285,381.58292857142857,380.92,98.0500000000012,0.39610017205123144,265,0.5,mom_score:1.00,1.0,0.11967087682737124,0.95,,2023-01-03T15:55:00-05:00
2023-01-04,2023-01-04T12:10:00-05:00,SPY,momentum_continuation,LONG,385.22,384.5139285714286,386.06728571428573,384.32,-271.8000000000103,-1.2746585735964222,302,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-01-04T13:00:00-05:00
2023-01-04,2023-01-04T13:20:00-05:00,SPY,momentum_continuation,LONG,385.01,384.3385714285714,385.70571428571424,384.22,-301.7799999999861,-1.1765957446807855,382,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-01-04T14:00:00-05:00
2023-01-04,2023-01-04T14:20:00-05:00,SPY,momentum_continuation,LONG,384.31,383.4582142857143,385.8601428571429,382.95,-295.12000000000296,-1.5966457023061018,217,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-01-04T14:25:00-05:00
2023-01-05,2023-01-05T12:10:00-05:00,SPY,momentum_continuation,LONG,380.005,379.30499999999995,380.889,379.18,-271.42499999999626,-1.1785714285713358,329,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-01-05T12:20:00-05:00
2023-01-05,2023-01-05T12:25:00-05:00,SPY,momentum_continuation,LONG,379.88,379.0655357142857,380.78035714285716,379.18,-212.79999999999654,-0.8594606445954757,304,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-01-05T13:20:00-05:00
2023-01-05,2023-01-05T13:25:00-05:00,SPY,momentum_continuation,LONG,380.835,380.835,381.7156428571428,380.7,-40.63499999999726,,301,0.5,mom_score:1.00,1.0,0.10216410438840862,0.95,,2023-01-05T15:00:00-05:00
2023-01-06,2023-01-06T12:00:00-05:00,SPY,momentum_continuation,LONG,386.31,385.4292857142857,387.1688571428572,385.52,-213.30000000000553,-0.8969991889699956,270,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-01-06T12:25:00-05:00
